job_titles1,year,Location,Level,StandardJobTitle,YearsOfExperience
 Senior Software Engineer In Test, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 IT Security Specialist, 2021, - Heliopolis Cairo,Experienced,IT Category,2
 Software Quality Control Engineer - Part Time, 2021, - Bolkly Alexandria,Experienced,Software Engneering ,2
 Back End Developer- Laravel, 2021, - New Cairo Cairo,Experienced,Software Engneering ,3
 Java Full Stack Developer, 2021, - Nasr City Cairo,Experienced,Software Engneering ,4
 Senior Software Engineer, 2021, - Maadi Cairo,Experienced,Software Engneering ,3
 IT System Administrator, 2021, - Dokki Giza,Experienced,IT Category,6
 Software Quality Engineer, 2021, - Riyadh Saudi Arabia,Experienced,Software Engneering ,3
 Senior Software Tester, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Sales Representative ( Software Industry ), 2021, - Maadi Cairo,Entry Level,Software Engneering ,1
 Senior Full Stack .Net Developer, - Sheikh Zayed,un known,Experienced,Software Engneering ,3
 Software Testing Team Leader, 2021, - Dokki Giza,Manager,Software Engneering ,8
 Senior Backend Developer, - Dokki,un known,Experienced,Software Engneering ,5
 Senior Java Backend Developer, - Maadi,un known,Experienced,Software Engneering ,4
 IT Quality Assurance Engineer, 2021, - New Cairo Cairo,Experienced,IT Category,5
 Software Tech Lead, 2021, - Zamalek Cairo,Manager,Software Engneering ,3
 Software Quality Control Engineer, 2021, - 6th Of October Giza,Experienced,Software Engneering ,3
 iOS Developer, 2021, - Dokki Giza,Experienced,Software Engneering ,6
 Sales Account Manager Software, 2021, - Mohandessin Giza,Manager,Software Engneering ,5
 Software Tester, 2021, - Heliopolis Cairo,Experienced,Software Engneering ,3
 Senior React js Developer-VOIS, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Senior .NET Developer, - Agouza,un known,Experienced,Software Engneering ,4
 Technical Software Architect, 2021, - Cairo Egypt,Experienced,Software Engneering ,5
 Senior PHP Developer, - 6th Of October,un known,Experienced,Software Engneering ,3
 Software Quality Team Leader - Cairo, 2021, - Maadi Cairo,Manager,Software Engneering ,6
 Sr Software Engineer (.Net), 2021, - Maadi Cairo,Entry Level,Software Engneering ,1
 Senior Full Stack Developer (Python/Django), 2021, - New Cairo Cairo,Experienced,Software Engneering ,4
 .Net Developer, - Nasr City,un known,Entry Level,Software Engneering ,1
 Senior Quality Assurance - Automation..., 2021, - Nasr City Cairo,Experienced,Software Engneering ,3
 Senior Full Stack Ruby ON Rails Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Senior Java Spring Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,4
 Flutter Developer, - Sheikh Zayed,un known,Entry Level,Software Engneering ,1
 Senior IT Sales Executive, 2021, - Maadi Cairo,Experienced,IT Category,3
 Web Developer, 2021, - Maadi Cairo,Entry Level,Software Engneering ,1
 IT Devops Systems Engineer, 2021, - Sheraton Cairo,Entry Level,IT Category,0
 IT Specialist, 2021, - Sheraton Cairo,Experienced,IT Category,2
 Senior Oracle Apss Developer, 2021, - Quweisna Monufya,Entry Level,Software Engneering ,1
 IT Recruiter, 2021, - Cairo Egypt,Experienced,IT Category,3
 Senior IT System Admin, 2021, - Cairo Egypt,Experienced,IT Category,3
 Java Developer, 2021, - Nasr City Cairo,Entry Level,Software Engneering ,1
 Software Testing Team Leader, 2021, - Dokki Giza,Manager,Software Engneering ,7
 Senior ASP.Net Developer, 2021, - Nasr City Cairo,Experienced,Software Engneering ,3
 Backend Software Engineer, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Flutter Mobile Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 PHP Laravel (Full Stack Developer), 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 Technical Support (Software), 2021, - Nasr City Cairo,Entry Level,Software Engneering ,1
 Product Owner - IT, 2021, - Nasr City Cairo,Experienced,IT Category,3
 Senior Front End Developer, 2021, - Dokki Giza,Experienced,Software Engneering ,5
 Senior Software Sales Specialist, 2021, - Dokki Giza,Experienced,Software Engneering ,3
 Node.js Backend Developer Remotely, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Business Development (Sr.) Manager, 2021, - New Cairo Cairo,Manager,Software Engneering ,8
 Dot Net Full Stack Developer, 2021, - New Cairo Cairo,Entry Level,Software Engneering ,1
 Scrum Master / Software Project Manager, 2021, - New Nozha Cairo,Experienced,Software Engneering ,5
 Senior Java Developer, 2021, - Agouza Giza,Experienced,Software Engneering ,3
 Senior Java Developer, 2021, - Nasr City Cairo,Experienced,Software Engneering ,4
 Sales Specialist (IT systems & Telecom Solutions), 2021, - Giza Egypt,Entry Level,IT Category,1
 Junior Java Developer, 2021, - Mokattam Cairo,Experienced,Software Engneering ,2
 Application Development Team Leader, 2021, - Smart Village Giza,Manager,Software Engneering ,5
 iOS Developer -Giza, - Mohandessin,un known,Entry Level,Software Engneering ,1
 Group IT Director, 2021, - Cairo Egypt,Manager,IT Category,8
 Senior Software Quality Control Engineer, 2021, - Attarin Alexandria,Experienced,Software Engneering ,2
 Senior Front End Developer - Angular, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Middle Front End Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Experienced .NET Developer, 2021, - Dokki Giza,Experienced,Software Engneering ,2
 PHP Developer - Senior & Mid-Level, 2021, - Alexandria Egypt,Experienced,Software Engneering ,3
 Frontend Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 IT Manager, 2021, - Alexandria Egypt,Manager,IT Category,10
 PHP Developer, 2021, - Alexandria Egypt,Experienced,Software Engneering ,3
 Senior .Net Developer, - Cairo,un known,Experienced,Software Engneering ,2
 Senior .Net Developer, 2021, - Sheraton Cairo,Experienced,Software Engneering ,4
 PHP Laravel - Full Stack Developer, 2021, - Nasr City Cairo,Experienced,Software Engneering ,3
 Senior Backend Developer Spring Boot, 2021, - Cairo Egypt,Experienced,Software Engneering ,4
 Senior Java Spring Developer, 2021, - Rehab City Cairo,Experienced,Software Engneering ,2
 .Net Developer, 2021, - Nasr City Cairo,Entry Level,Software Engneering ,1
 Magento Developer - Mid & Senior Level, - Alexandria,un known,Experienced,Software Engneering ,2
 Software Tester - Alexandria, 2021, - Smouha Alexandria,Entry Level,Software Engneering ,1
 Senior Python Django Full Stack Developer, 2021, - Maadi Cairo,Experienced,Software Engneering ,2
 Senior Full Stack Software Engineer, 2021, - Cairo Egypt,Experienced,Software Engneering ,5
 SharePoint Developer(Freelance Project), 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Java Developer, 2021, - Heliopolis Cairo,Experienced,Software Engneering ,2
 Front End Developer, - Maadi,un known,Experienced,Software Engneering ,3
 Senior JavaScript Developer (Alexandria), 2021, - Sidi Bishr Alexandria,Experienced,Software Engneering ,5
 Junior .Net Developer, - Agouza,un known,Entry Level,Software Engneering ,1
 .NET Developer (.Net Web Applications), 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Senior IT Specialist, 2021, - Maadi Cairo,Experienced,IT Category,5
 Senior .Net Full Stack Developer, 2021, - Maadi Cairo,Experienced,Software Engneering ,6
 Senior Java Developer, 2021, - Nasr City Cairo,Experienced,Software Engneering ,3
 Software Solution Specialist, 2021, - Hurghada Red Sea,Experienced,Software Engneering ,2
 Senior Full Stack Java/ Angular Developer, 2021, - Maadi Cairo,Experienced,Software Engneering ,5
 IT Specialist (Infor ERP), 2021, - Giza Egypt,Experienced,IT Category,7
 IT Infrastructure Section Head, 2021, - Mohandessin Giza,Manager,IT Category,8
 Laravel Full Stack Developer - Cairo, 2021, - Nasr City Cairo,Experienced,Software Engneering ,2
 Frontend Developer (Vue.Js), 2021, - New Cairo Cairo,Entry Level,Software Engneering ,0
 Python Developer - Pandas, - New Cairo,un known,Experienced,Software Engneering ,3
 Network Engineer Level 2 (Global IT Company) -..., 2021, - Cairo Egypt,Experienced,IT Category,3
 IT Specialist, 2021, - Dokki Giza,Entry Level,IT Category,1
 Junior Full Stack .Net Developer, 2021, - Nasr City Cairo,Entry Level,Software Engneering ,1
 Software Testing Team Leader, 2021, - Smart Village Giza,Manager,Software Engneering ,7
 RPA Developer, 2021, - Cairo Egypt,Entry Level,Software Engneering ,1
 Unity Game Developer (Remote), Full Time · Entry Level · 1+ Yrs of Exp · Unity · Unity 3D · 3D · iOS · Android · Software Development · Information Technology (IT) · Computer Science · Game Development · Game · Unity3D - New, - Cairo Egypt,Manager,Software Engneering ,408
 Full Stack Developer- 6 Months Project, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Senior Software Tester, 2021, - 6th Of October Giza,Experienced,Software Engneering ,2
 Senior Front-End Developer (React JS), - New Cairo,un known,Experienced,Software Engneering ,3
 IT Specialist, 2021, - Badr City Cairo,Experienced,IT Category,4
 Junior Web Developer (Back-End) - Alexandria, 2021, - San Stefano Alexandria,Entry Level,Software Engneering ,0
 Full Stack Developer / Java & React- Cairo, - New Cairo,un known,Experienced,Software Engneering ,6
 Shopify Front End Developer, - Cairo,un known,Entry Level,Software Engneering ,1
 Senior Full Stack Java Developer, 2021, - Maadi Cairo,Experienced,Software Engneering ,5
 Front End Developer, 2021, - Rehab City Cairo,Experienced,Software Engneering ,2
 Nodejs Backend Developer & Background - Angular, 2021, - Cairo Egypt,Entry Level,Software Engneering ,1
 Software Tester - Remote, 2021, - Cairo Egypt,Entry Level,Software Engneering ,1
 IT Infrastructure Supervisor / Engineer, 2021, - Cairo Egypt,Manager,IT Category,3
 Senior .NET Full Stack Developer (.NET Core &..., 2021, - Sheikh Zayed Giza,Experienced,Software Engneering ,4
 Full Stack Developer - Based In KSA, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Senior Angular Developer, 2021, - 6th Of October Giza,Experienced,Software Engneering ,5
 Senior Full Stack Developer - Giza, 2021, - Smart Village Giza,Experienced,Software Engneering ,3
 Odoo Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 Software Quality Control Engineer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 Senior Full Stack & Angular Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 RPA Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Software Quality Control Engineer, 2021, - Alexandria Egypt,Entry Level,Software Engneering ,1
 .Net Developer (C# & MVC), 2021, - Sidi Gaber Alexandria,Experienced,Software Engneering ,3
 Desktop Developer, 2021, - Qalubia Egypt,Experienced,Software Engneering ,5
 Senior Java Developer, 2021, - Sheraton Cairo,Experienced,Software Engneering ,3
 Senior Front-End Developer - (Angular), 2021, - Maadi Cairo,Experienced,Software Engneering ,2
 Senior Back-End Developer - (Node js), 2021, - Maadi Cairo,Experienced,Software Engneering ,2
 Team Lead .Net Developer, 2021, - Nasr City Cairo,Manager,Software Engneering ,3
 Full Stack Web Developer (Spring boot & React js), 2021, - New Cairo Cairo,Experienced,Software Engneering ,5
 IT Engineer - CRM, 2021, - Giza Giza,Experienced,IT Category,2
 Web Developer, - Maadi,un known,Experienced,Software Engneering ,2
 Senior Front End Developer - React JS, 2021, - Heliopolis Cairo,Experienced,Software Engneering ,3
 IT Technical Presales Engineer, 2021, - Cairo Egypt,Experienced,IT Category,5
 Full Stack Developer, 2021, - Maadi Cairo,Entry Level,Software Engneering ,1
 IT Specialist, 2021, - 6th Of October Giza,Entry Level,IT Category,1
 PHP Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,5
 Senior PHP Developer Laravel - Cairo, 2021, - Zamalek Cairo,Experienced,Software Engneering ,2
 React JS Front-End Developer, - Maadi,un known,Experienced,Software Engneering ,2
 Senior Flutter Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,4
 .Net Developer - (.Net Core + WPF) [VA], - New Cairo,un known,Experienced,Software Engneering ,3
 Front-End React Developer, - New Cairo,un known,Experienced,Software Engneering ,3
 Senior Full Stack Python Developer, - Maadi,un known,Experienced,Software Engneering ,3
 Senior IT Support Specialist, 2021, - Smart Village Giza,Experienced,IT Category,3
 Senior Odoo Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 Java Spring Developer, 2021, - New Nozha Cairo,Experienced,Software Engneering ,2
 Back End Developer, 2021, - Nasr City Cairo,Entry Level,Software Engneering ,1
 Ruby On Rails Developer - Senior & Mid-Level, - Alexandria,un known,Experienced,Software Engneering ,3
 Technical Implementation Engineer (Database..., 2021, - Maadi Cairo,Experienced,Software Engneering ,3
 Full Stack Web Developer Instructor, 2021, - Giza Egypt,Experienced,Software Engneering ,3
 Javascript Developer, 2021, - Krakow Poland,Experienced,Software Engneering ,2
 Microsoft Dynamics 365 CRM Developer, 2021, - Maadi Cairo,Experienced,Software Engneering ,5
 Full Stack .NET/Angular Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Front-End Developer, 2021, - Giza Egypt,Experienced,Software Engneering ,3
 Android & IOS Developer Internship, 2021, - New Cairo Cairo,Manager,Software Engneering ,27
 Senior PHP Developer, 2021, - Maadi Cairo,Experienced,Software Engneering ,3
 MS Dynamics Senior Developer, 2021, - Obour City Cairo,Experienced,Software Engneering ,7
 Full Stack Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Senior .NET / Mobile Full Stack Developer, 2021, - Nasr City Cairo,Experienced,Software Engneering ,4
 Senior PHP/Magento Full Stack Developer, 2021, - Nasr City Cairo,Experienced,Software Engneering ,4
 Incident Management Executive (Multinational IT)*, 2021, - Cairo Egypt,Entry Level,IT Category,0
 Senior Database /BI Developer, 2021, - Dokki Giza,Experienced,Software Engneering ,2
 Flutter Developer, 2021, - New Cairo Cairo,Entry Level,Software Engneering ,1
 Software Sales Specialist, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Java Development Team Leader, 2021, - Nasr City Cairo,Manager,Software Engneering ,6
 Software Quality Control Engineer, 2021, - Maadi Cairo,Experienced,Software Engneering ,2
 OFSAA EPM Reports Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Senior Back End Developer (Laravel), 2021, - Maadi Cairo,Experienced,Software Engneering ,3
 IT Security Administrator, 2021, - Hurghada Red Sea,Experienced,IT Category,2
 Senior Full Stack Developer / .NET React, - New Cairo,un known,Experienced,Software Engneering ,3
 Software Project Manager, 2021, - Maadi Cairo,Manager,Software Engneering ,5
 Android Developer, 2021, - Dokki Giza,Experienced,Software Engneering ,6
 Flutter Developer, 2021, - Alexandria Egypt,Entry Level,Software Engneering ,1
 MS Dynamics AX Developer, 2021, - 10th Of Ramadan City Cairo,Entry Level,Software Engneering ,0
 Mobile Developer - React Native, 2021, - Maadi Cairo,Experienced,Software Engneering ,2
 Senior Front End Developer - Jumia Pay, 2021, - Cairo Egypt,Experienced,Software Engneering ,5
 Senior Frontend Developer Angular, 2021, - Cairo Egypt,Experienced,Software Engneering ,5
 Senior React Native Mobile Developer/Team leader, 2021, - Heliopolis Cairo,Experienced,Software Engneering ,3
 Full Stack Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Sr. PHP Developer - Full Stack, 2021, - Maadi Cairo,Experienced,Software Engneering ,4
 Mid-Level PHP Developer (Laravel), 2021, - Nasr City Cairo,Experienced,Software Engneering ,2
 Golang Back End Developer, 2021, - Toronto Canada,Experienced,Software Engneering ,2
